Timestamp,Distance,Hits,Misses,Level,Score,ScoreLossPowerups,ScoreLoss,ScoreGain,LaneSwitches,ReachedEnd,powerups_pickedup,powerups_used,Score,Score
9/29/2022 19:18:13,0031.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 19:19:45,0104.08 0 200 dead,,,,,,,,,,,,,
9/29/2022 19:33:45,0069.04 0 120 dead,,,,,,,,,,,,,
9/29/2022 19:35:00,0059.92 0 180 dead,,,,,,,,,,,,,
9/29/2022 19:35:20,0090.92 0 120 dead,,,,,,,,,,,,,
9/29/2022 19:38:38,0075.92 0 170 dead,,,,,,,,,,,,,
9/29/2022 19:54:54,0006.92 0 200 dead,,,,,,,,,,,,,
9/29/2022 19:55:07,0032.92 0 180 dead,,,,,,,,,,,,,
9/29/2022 19:56:18,0032.92 0 180 dead,,,,,,,,,,,,,
9/29/2022 19:56:32,0047.92 0 190 dead,,,,,,,,,,,,,
9/29/2022 19:56:55,0051.92 0 180 dead,,,,,,,,,,,,,
9/29/2022 19:57:15,0099.92 0 140 dead,,,,,,,,,,,,,
9/29/2022 19:57:52,0128.43 38 0 alive,,,,,,,,,,,,,
9/29/2022 20:14:35,0046.00 0 200 dead,,,,,,,,,,,,,
9/29/2022 20:16:33,0084.13 -4 180 dead,,,,,,,,,,,,,
9/29/2022 20:16:51,0085.99 0 190 dead,,,,,,,,,,,,,
9/29/2022 20:17:20,0089.80 0 190 dead,,,,,,,,,,,,,
9/29/2022 20:34:34,0219.25 46 0 alive,,,,,,,,,,,,,
9/29/2022 20:35:12,0199.52 100 0 alive,,,,,,,,,,,,,
9/29/2022 20:43:47,0103.99 -6 100 dead,,,,,,,,,,,,,
9/29/2022 20:49:11,0105.00 -4 90 dead,,,,,,,,,,,,,
9/29/2022 20:51:05,0124.18 -4 40 dead,,,,,,,,,,,,,
9/29/2022 20:51:13,0057.15 58 -10 alive,,,,,,,,,,,,,
9/29/2022 20:52:22,0124.07 -8 50 dead,,,,,,,,,,,,,
9/29/2022 21:15:51,0156.00 -3 90 dead,,,,,,,,,,,,,
9/29/2022 21:17:43,0090.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 21:18:32,0164.07 -3 40 dead,,,,,,,,,,,,,
9/29/2022 21:34:51,0084.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 21:35:40,0043.00 0 100 dead,,,,,,,,,,,,,
9/29/2022 21:45:33,0112.98 -9 60 dead,,,,,,,,,,,,,
9/29/2022 21:47:23,0144.99 20 -10 alive,,,,,,,,,,,,,
9/29/2022 21:50:10,0145.99 58 0 alive,,,,,,,,,,,,,
9/29/2022 21:52:28,0145.99 58 0 alive,,,,,,,,,,,,,
9/29/2022 21:52:43,0078.98 70 -90 alive,,,,,,,,,,,,,
9/29/2022 21:53:00,0098.74 49 -40 alive,,,,,,,,,,,,,
9/29/2022 22:15:06,0105.30 50 0 alive,,,,,,,,,,,,,
9/29/2022 22:24:10,0124.17 0 20 dead,,,,,,,,,,,,,
9/29/2022 22:39:20,0132.97 -9 20 dead,,,,,,,,,,,,,
9/29/2022 22:52:16,0035.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 22:52:30,0063.01 0 100 dead,,,,,,,,,,,,,
9/29/2022 22:53:07,0102.99 0 90 dead,,,,,,,,,,,,,
9/29/2022 22:54:21,0114.98 -5 80 dead,,,,,,,,,,,,,
9/29/2022 22:55:56,0125.87 40 0 alive,,,,,,,,,,,,,
9/29/2022 23:01:42,0026.92 -3 200 dead,,,,,,,,,,,,,
9/29/2022 23:01:53,0043.00 -7 200 dead,,,,,,,,,,,,,
9/29/2022 23:02:03,0017.00 0 200 dead,,,,,,,,,,,,,
9/29/2022 23:58:05,0159.99 0 50 dead,,,,,,,,,,,,,
9/30/2022 0:00:45,0143.22 84 0 alive,,,,,,,,,,,,,
9/30/2022 0:35:15,0108.08 50 0 alive,,,,,,,,,,,,,
9/30/2022 0:40:37,0238.92 0 150 dead,,,,,,,,,,,,,
