Timestamp,Level,Restart_Quit
10/25/2022 19:52:14,level_one,Quit
10/25/2022 20:13:58,level_one,Restart
10/25/2022 21:10:29,level_one,Quit
10/25/2022 21:10:38,level_one,Quit
10/25/2022 21:43:52,level_one,Restart
10/25/2022 21:43:55,level_one,Restart
10/25/2022 21:44:06,level_one,Restart
10/25/2022 23:17:10,level_one,Restart
10/25/2022 23:17:11,level_one,Restart
10/25/2022 23:17:13,level_one,Quit
10/25/2022 23:17:14,level_two,Restart
10/25/2022 23:17:15,level_two,Quit
10/25/2022 23:17:17,level_three,Restart
10/25/2022 23:17:18,level_three,Restart
10/25/2022 23:17:21,level_three,Restart
10/25/2022 23:17:22,level_three,Quit
10/25/2022 23:17:24,level_one,Restart
10/25/2022 23:17:24,level_one,Restart
10/25/2022 23:17:25,level_one,Restart
10/25/2022 23:17:25,level_one,Restart
10/25/2022 23:17:25,level_one,Restart
10/25/2022 23:17:26,level_one,Restart
10/25/2022 23:17:26,level_one,Quit
10/25/2022 23:17:28,level_two,Restart
10/25/2022 23:17:29,level_two,Quit
10/25/2022 23:17:30,level_six,Restart
10/25/2022 23:17:30,level_six,Restart
10/25/2022 23:17:36,level_six,Quit
10/25/2022 23:18:14,level_seven,Quit
10/25/2022 23:18:16,level_seven,Restart
10/25/2022 23:38:21,level_one,Restart
10/25/2022 23:38:35,level_one,Quit
10/25/2022 23:40:33,level_one,Quit
10/26/2022 1:22:35,level_one,Restart
10/26/2022 1:22:36,level_one,Quit
10/26/2022 10:34:50,level_one,Quit
10/26/2022 12:10:16,level_one,Restart
10/26/2022 12:10:35,level_one,Restart
10/26/2022 12:10:37,level_one,Quit
10/26/2022 12:10:44,level_two,Restart
10/26/2022 12:10:46,level_two,Restart
10/26/2022 12:10:47,level_two,Restart
10/26/2022 12:10:47,level_two,Restart
10/26/2022 12:10:48,level_two,Restart
10/26/2022 12:10:53,level_two,Restart
10/26/2022 12:11:00,level_two,Restart
10/26/2022 12:11:01,level_two,Restart
10/26/2022 12:11:14,level_two,Restart
10/26/2022 12:11:24,level_two,Quit
10/26/2022 12:12:00,level_five,Restart
10/26/2022 12:14:18,level_five,Restart
10/26/2022 12:14:48,level_five,Restart
10/26/2022 12:15:07,level_five,Restart
10/26/2022 12:17:35,level_five,Restart
10/26/2022 12:17:37,level_five,Quit
10/26/2022 12:17:50,level_five,Restart
10/26/2022 12:18:23,level_five,Quit
10/26/2022 13:51:10,level_one,Restart
10/26/2022 13:57:19,level_one,Restart
10/26/2022 13:57:32,level_one,Quit
10/26/2022 16:18:55,level_one,Quit
10/26/2022 16:18:58,level_four,Quit
10/26/2022 16:19:10,level_seven,Quit
10/26/2022 16:28:24,level_one,Restart
10/26/2022 16:28:24,level_one,Restart
10/26/2022 17:23:03,level_one,Quit
10/26/2022 17:23:04,level_five,Quit
10/26/2022 17:23:48,level_two,Quit
10/26/2022 17:23:51,level_three,Quit
10/26/2022 17:24:32,level_four,Quit
10/26/2022 17:37:30,level_one,Restart
10/26/2022 17:37:31,level_one,Restart
10/26/2022 17:37:32,level_one,Quit
10/26/2022 17:38:27,level_one,Restart
10/26/2022 17:38:27,level_one,Restart
10/26/2022 17:38:28,level_one,Restart
10/26/2022 17:38:28,level_one,Restart
10/26/2022 17:38:29,level_one,Restart
10/26/2022 17:38:29,level_one,Quit
10/26/2022 17:38:31,level_two,Quit
10/26/2022 17:38:32,level_two,Quit
10/26/2022 17:38:53,level_two,Quit
10/26/2022 17:38:54,level_three,Quit
10/26/2022 17:38:59,level_four,Quit
10/26/2022 17:39:00,level_five,Quit
10/26/2022 17:39:01,level_seven,Quit
10/26/2022 18:06:17,level_one,Quit
10/26/2022 18:19:24,level_one,Restart
10/26/2022 18:19:25,level_one,Restart
10/26/2022 18:19:25,level_one,Restart
10/26/2022 18:19:25,level_one,Restart
10/26/2022 18:19:25,level_one,Restart
10/26/2022 18:19:26,level_one,Restart
10/26/2022 18:19:26,level_one,Restart
10/26/2022 18:19:26,level_one,Restart
10/26/2022 18:19:27,level_one,Restart
10/26/2022 18:19:27,level_one,Restart
10/26/2022 18:19:27,level_one,Restart
10/26/2022 18:19:27,level_one,Restart
10/26/2022 18:19:28,level_one,Restart
10/26/2022 18:19:28,level_one,Restart
